user_id,test_group,total_ads,most_ads_day,most_ads_hour,converted
1124531,ad,63,Wednesday,19,False
1056827,ad,66,Saturday,14,False
1077196,ad,111,Friday,14,False
1402121,ad,74,Thursday,14,False
1190893,ad,14,Sunday,20,False
1608119,ad,258,Friday,2,False
1447573,ad,103,Wednesday,11,False
1626063,ad,9,Tuesday,19,False
1565118,ad,3,Tuesday,19,False
1261130,ad,1057,Thursday,20,False
1651365,ad,137,Sunday,15,False
1004917,ad,131,Thursday,18,False
1275159,ad,124,Friday,13,False
904595,psa,13,Tuesday,19,False
1485052,ad,24,Tuesday,19,False
1018316,ad,37,Sunday,13,False
1455516,ad,131,Saturday,21,False
1474691,ad,738,Wednesday,4,False
1452008,ad,24,Tuesday,19,False
1595920,ad,199,Saturday,19,False
1581977,ad,211,Saturday,15,False
1589863,ad,98,Friday,19,False
1097687,ad,19,Tuesday,19,False
1317758,ad,19,Wednesday,19,False
1374531,ad,127,Friday,13,False
1556695,ad,18,Tuesday,19,False
1031558,ad,126,Tuesday,11,False
1388707,ad,197,Sunday,11,False
1243365,ad,77,Friday,19,False
1021129,ad,73,Wednesday,1,False
1035024,ad,60,Wednesday,13,False
1283389,ad,95,Friday,15,False
1134874,ad,137,Tuesday,8,False
1239097,ad,97,Tuesday,21,False
1214946,ad,22,Tuesday,19,False
1474276,ad,117,Tuesday,14,False
1176592,ad,71,Tuesday,22,False
1650819,ad,41,Tuesday,23,False
1025362,ad,57,Wednesday,12,False
1447938,ad,593,Friday,15,False
1383606,ad,97,Tuesday,22,False
1004431,ad,111,Friday,11,False
1311611,ad,31,Tuesday,19,False
1426144,ad,28,Tuesday,20,False
1550138,ad,9,Tuesday,19,False
1142414,ad,85,Saturday,2,False
1437991,ad,13,Monday,6,False
1021483,ad,40,Tuesday,19,False
1049936,ad,53,Tuesday,19,False
1021529,ad,43,Tuesday,21,False
1562039,ad,133,Friday,23,False
1471753,ad,33,Tuesday,19,False
1389878,ad,1328,Saturday,19,True
1454785,ad,7,Tuesday,20,False
1027875,ad,6,Tuesday,19,False
1168468,ad,62,Wednesday,10,False
1031452,ad,247,Tuesday,17,False
1519525,ad,73,Sunday,16,False
1519350,ad,464,Friday,22,False
1408016,ad,99,Friday,20,False
1470226,ad,233,Sunday,19,False
1003299,ad,139,Friday,6,False
1598132,ad,274,Saturday,6,False
1086334,ad,103,Sunday,0,False
1091862,ad,62,Tuesday,19,False
1228652,ad,407,Friday,0,False
1475989,ad,323,Saturday,20,True
1189879,ad,95,Tuesday,11,False
1098032,ad,95,Tuesday,20,False
1074765,ad,47,Wednesday,1,False
1633782,ad,76,Monday,2,False
1431498,ad,395,Monday,18,False
1482863,ad,27,Tuesday,20,False
1486607,ad,131,Tuesday,22,False
1642676,ad,239,Monday,13,False
1519734,ad,119,Thursday,21,False
1137335,ad,166,Saturday,12,False
1018121,ad,34,Tuesday,19,False
1549368,ad,19,Tuesday,19,False
1561455,ad,9,Tuesday,12,False
1241733,ad,246,Friday,20,True
1416484,ad,20,Tuesday,21,False
1434278,ad,653,Saturday,12,False
1039350,ad,122,Wednesday,11,False
1402231,ad,14,Tuesday,22,False
901904,psa,32,Wednesday,19,False
1199156,ad,386,Wednesday,2,False
1550174,ad,44,Friday,10,False
1246432,ad,37,Thursday,22,False
1113317,ad,138,Wednesday,3,False
1465327,ad,111,Sunday,18,False
1487048,ad,109,Tuesday,11,False
1053010,ad,39,Saturday,17,False
1499538,ad,159,Sunday,13,False
1245336,ad,26,Tuesday,20,False
1613570,ad,30,Tuesday,19,False
1036102,ad,59,Monday,19,False
1426913,ad,421,Wednesday,7,False
1350773,ad,446,Thursday,14,False
1218677,ad,555,Monday,8,False
1137456,ad,46,Friday,9,False
1317436,ad,133,Tuesday,10,False
902234,psa,105,Tuesday,19,False
1586577,ad,128,Saturday,21,False
1443808,ad,310,Monday,10,False
1563006,ad,163,Saturday,6,True
1536028,ad,108,Wednesday,12,False
1227125,ad,10,Wednesday,19,False
1583256,ad,111,Wednesday,19,False
1015813,ad,166,Tuesday,15,False
1014470,ad,20,Tuesday,19,False
1069030,ad,63,Monday,20,False
906079,psa,37,Monday,10,False
1637415,ad,290,Wednesday,19,False
1134328,ad,164,Friday,21,True
1075708,ad,79,Thursday,20,False
1088553,ad,10,Monday,18,False
1437651,ad,312,Wednesday,20,True
1564291,ad,16,Monday,19,False
1315227,ad,161,Saturday,15,False
1108047,ad,505,Thursday,8,False
1356436,ad,640,Tuesday,12,False
1015496,ad,18,Wednesday,16,False
1204864,ad,118,Tuesday,12,False
1247582,ad,161,Friday,13,False
1416094,ad,266,Saturday,8,False
1462357,ad,34,Tuesday,19,False
1401719,ad,456,Saturday,7,False
1623828,ad,80,Tuesday,22,False
1295460,ad,100,Sunday,19,False
1204725,ad,983,Sunday,19,False
1354016,ad,36,Wednesday,19,False
1535178,ad,16,Wednesday,16,False
1399235,ad,30,Tuesday,19,False
1358322,ad,74,Friday,22,False
1056345,ad,1,Tuesday,19,False
1056569,ad,59,Monday,11,False
1490051,ad,21,Thursday,19,False
1582055,ad,122,Thursday,20,False
1089523,ad,34,Tuesday,6,False
1165625,ad,5,Tuesday,19,False
1210120,ad,24,Saturday,23,False
1051625,ad,66,Tuesday,22,False
1441716,ad,463,Tuesday,20,False
1543774,ad,407,Wednesday,11,False
1058604,ad,720,Wednesday,22,False
1120706,ad,76,Tuesday,22,False
1622092,ad,40,Friday,20,False
912103,psa,90,Friday,14,False
1518884,ad,52,Friday,17,False
909288,psa,22,Friday,0,False
1342087,ad,27,Saturday,11,False
1245500,ad,71,Wednesday,8,False
1383923,ad,442,Wednesday,13,False
1158875,ad,27,Tuesday,22,False
914634,psa,334,Thursday,18,False
1411061,ad,175,Saturday,4,False
1555915,ad,1056,Friday,12,False
1144427,ad,112,Thursday,21,False
1426711,ad,270,Wednesday,11,False
903660,psa,1,Tuesday,19,False
1146837,ad,118,Saturday,2,False
1316051,ad,13,Tuesday,19,False
1549371,ad,240,Thursday,22,False
1512110,ad,194,Sunday,21,False
1426764,ad,131,Sunday,17,True
1290123,ad,99,Friday,21,False
1233662,ad,37,Saturday,14,False
1616476,ad,271,Sunday,8,False
1205042,ad,489,Sunday,13,False
1135013,ad,115,Tuesday,21,False
1443041,ad,180,Friday,22,False
1015462,ad,241,Sunday,9,True
1308245,ad,16,Tuesday,19,False
1507250,ad,15,Tuesday,20,False
1227562,ad,66,Tuesday,20,False
1089206,ad,154,Friday,14,False
1367058,ad,120,Friday,12,False
1579280,ad,29,Monday,18,False
1450412,ad,107,Tuesday,20,False
1573408,ad,176,Tuesday,13,False
1347695,ad,8,Sunday,20,False
1149991,ad,41,Monday,6,False
1129130,ad,146,Saturday,14,False
1249023,ad,121,Tuesday,20,False
1471763,ad,50,Tuesday,19,False
1075715,ad,69,Wednesday,3,False
920232,psa,108,Sunday,10,False
1411066,ad,30,Tuesday,19,False
1598686,ad,93,Tuesday,13,False
907603,psa,163,Thursday,4,False
1075721,ad,32,Wednesday,12,False
1084761,ad,31,Tuesday,22,False
1583173,ad,24,Tuesday,19,False
1527517,ad,41,Tuesday,19,False
1375507,ad,297,Friday,17,False
1527107,ad,35,Wednesday,12,False
1295018,ad,78,Sunday,11,False
1279836,ad,47,Thursday,9,False
1300455,ad,170,Wednesday,17,False
1288252,ad,214,Friday,12,False
1095111,ad,81,Wednesday,14,False
1606205,ad,7,Tuesday,19,False
904323,psa,2,Tuesday,19,False
1492467,ad,50,Tuesday,20,False
1349006,ad,53,Thursday,16,False
1275047,ad,175,Wednesday,20,False
1286714,ad,93,Thursday,3,False
1440479,ad,78,Tuesday,21,False
1527350,ad,38,Friday,14,False
1468158,ad,30,Tuesday,19,False
1144069,ad,681,Wednesday,15,False
910192,psa,1,Tuesday,19,False
1247204,ad,81,Monday,13,False
1073813,ad,733,Wednesday,19,False
1108009,ad,71,Friday,21,False
1035169,ad,1,Tuesday,19,False
1187236,ad,76,Sunday,12,False
1225102,ad,41,Tuesday,19,False
1188973,ad,246,Friday,19,False
1240660,ad,23,Tuesday,23,False
1241946,ad,157,Sunday,10,False
1563939,ad,153,Thursday,18,False
1408686,ad,49,Sunday,13,False
1330024,ad,13,Tuesday,20,False
1350238,ad,135,Thursday,7,False
1376118,ad,88,Thursday,10,False
1504969,ad,34,Tuesday,19,False
1192762,ad,167,Sunday,14,True
1311563,ad,4,Tuesday,19,False
1654283,ad,233,Thursday,16,False
909708,psa,58,Wednesday,18,False
1142402,ad,28,Tuesday,19,False
1268509,ad,19,Friday,19,False
1634099,ad,53,Thursday,19,False
1035068,ad,60,Monday,13,False
1365964,ad,5,Wednesday,20,False
1349926,ad,57,Sunday,19,True
1226812,ad,26,Tuesday,22,False
1015566,ad,195,Friday,3,False
1414590,ad,115,Saturday,10,False
1331546,ad,318,Wednesday,22,False
1575474,ad,64,Wednesday,22,False
1399761,ad,16,Tuesday,19,False
1021458,ad,48,Wednesday,12,False
1274753,ad,66,Wednesday,9,False
1064695,ad,39,Thursday,21,False
1500148,ad,7,Tuesday,19,False
1026877,ad,24,Tuesday,19,False
1548788,ad,83,Thursday,20,False
1254394,ad,96,Friday,14,False
1289974,ad,392,Sunday,20,False
1087012,ad,233,Sunday,12,False
1185573,ad,24,Sunday,20,False
1223794,ad,371,Friday,12,False
1373952,ad,91,Thursday,22,False
1633649,ad,83,Tuesday,19,False
1114410,ad,118,Saturday,12,False
1491238,ad,68,Sunday,21,False
1061571,ad,128,Wednesday,11,False
1547144,ad,427,Friday,8,False
1282386,ad,516,Monday,19,False
1252310,ad,108,Thursday,17,False
1024092,ad,249,Monday,18,False
1089627,ad,54,Tuesday,12,False
901946,psa,87,Friday,12,False
1041287,ad,16,Thursday,12,False
922021,psa,11,Monday,10,False
1309121,ad,25,Friday,8,False
1624567,ad,171,Saturday,8,False
1384726,ad,45,Friday,19,False
1367354,ad,55,Wednesday,12,False
1231441,ad,19,Thursday,14,False
1100888,ad,27,Tuesday,19,False
1302389,ad,2,Tuesday,19,False
1247452,ad,118,Friday,9,False
1608654,ad,8,Tuesday,19,False
1071865,ad,78,Tuesday,19,False
1314555,ad,403,Friday,19,False
1477492,ad,87,Tuesday,14,False
1470864,ad,120,Thursday,22,False
1007217,ad,140,Friday,20,False
1035809,ad,163,Saturday,8,True
1472392,ad,455,Thursday,22,False
1118204,ad,2,Tuesday,19,False
1475451,ad,33,Saturday,12,False
1099632,ad,1,Tuesday,19,False
1261089,ad,27,Wednesday,18,False
1070488,ad,111,Tuesday,18,False
1275888,ad,222,Wednesday,16,False
1433839,ad,82,Tuesday,2,False
1191954,ad,168,Saturday,12,False
1068905,ad,19,Tuesday,19,False
1149997,ad,29,Tuesday,20,False
1106405,ad,248,Thursday,11,True
1230489,ad,46,Wednesday,13,False
1133910,ad,53,Monday,19,True
1075417,ad,99,Monday,19,False
1600591,ad,89,Wednesday,19,False
1044383,ad,8,Friday,7,False
1583485,ad,225,Tuesday,13,False
1458334,ad,21,Tuesday,19,False
1448273,ad,79,Friday,13,False
1491232,ad,93,Wednesday,19,False
1153301,ad,13,Monday,20,False
1080071,ad,209,Tuesday,0,False
913727,psa,176,Wednesday,19,False
1334292,ad,633,Wednesday,10,False
1508231,ad,66,Friday,13,False
1025679,ad,3,Tuesday,19,False
1008253,ad,116,Monday,19,False
1558801,ad,188,Saturday,19,False
1288422,ad,240,Wednesday,6,False
1199901,ad,69,Saturday,13,False
1015846,ad,423,Tuesday,12,True
1469040,ad,85,Tuesday,19,False
1100881,ad,70,Friday,17,False
1473893,ad,110,Friday,22,False
1262795,ad,311,Sunday,10,False
1058624,ad,98,Saturday,11,False
1294269,ad,39,Tuesday,9,False
916403,psa,43,Saturday,7,False
1031923,ad,174,Tuesday,13,False
1432319,ad,208,Sunday,19,False
1459535,ad,19,Sunday,14,False
1381817,ad,44,Wednesday,17,False
1097380,ad,26,Tuesday,19,False
1275658,ad,115,Sunday,17,False
1341766,ad,45,Wednesday,18,False
1176405,ad,33,Sunday,17,False
1017353,ad,41,Tuesday,19,False
1341940,ad,64,Friday,21,False
1512234,ad,53,Monday,13,False
1116052,ad,68,Friday,12,False
1425073,ad,78,Saturday,7,False
1157007,ad,40,Tuesday,13,False
1384248,ad,211,Saturday,8,False
1219601,ad,92,Monday,19,False
1603540,ad,116,Tuesday,13,False
1162673,ad,64,Wednesday,23,False
1401765,ad,172,Friday,17,False
1624340,ad,168,Wednesday,15,False
1008563,ad,1,Tuesday,19,False
1592277,ad,127,Tuesday,22,False
1358208,ad,39,Tuesday,17,False
1046319,ad,35,Wednesday,11,False
1081512,ad,29,Tuesday,19,False
1455029,ad,657,Sunday,11,True
1338657,ad,260,Saturday,20,False
1161719,ad,191,Wednesday,20,False
1459455,ad,32,Tuesday,13,False
910533,psa,21,Thursday,15,False
1443603,ad,43,Saturday,0,False
1168429,ad,8,Monday,19,False
1219224,ad,77,Saturday,20,False
1155518,ad,117,Friday,13,True
1063512,ad,1,Tuesday,19,False
1365908,ad,173,Tuesday,0,False
1009723,ad,225,Sunday,20,False
1257216,ad,245,Monday,19,False
1625861,ad,76,Wednesday,16,False
915142,psa,2,Tuesday,19,False
1112751,ad,150,Tuesday,17,False
1304915,ad,36,Thursday,23,False
1483477,ad,29,Tuesday,19,False
1389980,ad,40,Thursday,13,False
1269532,ad,20,Tuesday,13,False
1444340,ad,31,Sunday,22,False
1580020,ad,46,Thursday,12,False
1517715,ad,34,Friday,12,False
1097374,ad,84,Sunday,18,True
1098300,ad,134,Sunday,14,False
1385107,ad,290,Sunday,12,False
1381222,ad,526,Tuesday,4,False
1263606,ad,607,Friday,8,False
1104281,ad,28,Friday,14,False
1178668,ad,84,Saturday,15,False
1003028,ad,22,Wednesday,0,False
1164165,ad,24,Wednesday,10,False
1433340,ad,15,Friday,15,False
1581039,ad,11,Saturday,13,False
1187889,ad,14,Friday,16,False
1044754,ad,75,Wednesday,10,False
1446864,ad,50,Tuesday,19,False
1079693,ad,247,Friday,16,False
1022553,ad,108,Friday,12,False
1194964,ad,60,Friday,21,False
1084058,ad,109,Tuesday,20,False
1625479,ad,40,Friday,6,False
1023973,ad,78,Monday,18,False
1035120,ad,302,Saturday,10,False
1566151,ad,94,Sunday,10,False
1136220,ad,3,Tuesday,19,False
920834,psa,10,Monday,20,False
1614805,ad,294,Saturday,17,False
1550241,ad,56,Wednesday,23,False
900493,psa,288,Thursday,1,False
1617490,ad,42,Friday,21,False
1260692,ad,123,Friday,18,False
1423066,ad,179,Saturday,8,False
1425692,ad,61,Sunday,15,False
1225350,ad,138,Tuesday,20,False
1143107,ad,79,Wednesday,1,False
1003640,ad,312,Tuesday,20,False
1555454,ad,69,Tuesday,19,False
1309202,ad,209,Thursday,20,False
1561978,ad,37,Tuesday,19,False
1061847,ad,11,Friday,14,False
1194133,ad,241,Friday,19,False
1342560,ad,46,Wednesday,15,False
1220006,ad,50,Tuesday,20,False
1065831,ad,159,Saturday,12,False
1121183,ad,153,Sunday,19,False
1097086,ad,66,Sunday,7,False
1105468,ad,62,Sunday,13,False
1533765,ad,121,Thursday,19,False
1018653,ad,98,Saturday,13,False
1556851,ad,75,Monday,19,False
908642,psa,3,Tuesday,19,False
1072226,ad,15,Thursday,20,False
1123905,ad,54,Tuesday,21,False
1023641,ad,154,Thursday,9,False
1605560,ad,35,Tuesday,20,False
1095240,ad,123,Sunday,12,False
1005150,ad,160,Thursday,20,True
1400474,ad,21,Thursday,19,False
1393143,ad,51,Sunday,20,False
1217013,ad,39,Tuesday,19,False
1476463,ad,20,Saturday,19,False
1355522,ad,323,Wednesday,13,False
1201169,ad,190,Saturday,21,False
1402229,ad,13,Tuesday,19,False
915758,psa,35,Tuesday,20,False
1595580,ad,34,Tuesday,21,False
1464258,ad,225,Saturday,12,False
1178556,ad,221,Saturday,19,False
1572501,ad,138,Tuesday,17,False
1273688,ad,27,Friday,19,False
1203642,ad,216,Sunday,19,False
1385156,ad,36,Monday,9,False
1149787,ad,5,Thursday,19,False
1413715,ad,70,Saturday,20,False
1137342,ad,82,Wednesday,2,False
1058565,ad,347,Monday,12,False
1518100,ad,20,Friday,2,False
1124542,ad,102,Tuesday,22,False
1275160,ad,4,Tuesday,19,False
1066112,ad,50,Friday,17,False
1405259,ad,10,Monday,19,False
1633287,ad,31,Monday,12,False
1194494,ad,65,Friday,9,False
1086307,ad,1632,Friday,20,False
1275661,ad,134,Saturday,7,False
1169878,ad,51,Saturday,16,False
1651569,ad,8,Tuesday,19,False
1315752,ad,106,Sunday,21,False
1507801,ad,125,Friday,5,False
1069326,ad,1,Tuesday,19,False
1380459,ad,107,Tuesday,21,False
1519909,ad,38,Monday,21,False
1225435,ad,73,Tuesday,21,False
1167383,ad,73,Tuesday,19,False
1209137,ad,317,Friday,22,False
1183969,ad,206,Saturday,6,False
1058582,ad,38,Tuesday,20,False
1567155,ad,1,Tuesday,19,False
1548830,ad,159,Monday,11,True
1573270,ad,249,Wednesday,17,True
1305699,ad,350,Friday,15,False
1118315,ad,62,Tuesday,19,False
1154515,ad,36,Sunday,19,False
1005404,ad,202,Wednesday,12,False
1604043,ad,148,Friday,18,False
1463981,ad,145,Monday,8,False
1439612,ad,525,Saturday,10,False
1476984,ad,102,Monday,7,False
1011091,ad,445,Thursday,19,False
1032838,ad,309,Wednesday,15,False
1413810,ad,51,Tuesday,11,False
1469471,ad,78,Tuesday,16,False
1530846,ad,17,Tuesday,20,False
1152757,ad,20,Tuesday,19,False
1092653,ad,51,Monday,15,False
1325854,ad,93,Tuesday,22,False
1282638,ad,186,Friday,9,False
1459735,ad,58,Tuesday,19,False
1198198,ad,28,Saturday,18,False
1047552,ad,10,Tuesday,19,False
1025723,ad,29,Saturday,16,False
1546516,ad,122,Tuesday,19,False
1441954,ad,52,Saturday,10,False
1081704,ad,62,Friday,13,False
1266552,ad,128,Saturday,15,False
1443607,ad,290,Thursday,23,True
906508,psa,5,Tuesday,19,False
1013799,ad,74,Monday,19,False
1006459,ad,105,Tuesday,13,False
1456006,ad,78,Monday,20,False
1060364,ad,486,Wednesday,18,False
1274014,ad,97,Tuesday,23,False
1357807,ad,40,Wednesday,19,False
1109131,ad,98,Thursday,22,False
1278368,ad,47,Monday,19,False
1491353,ad,380,Tuesday,20,False
1019520,ad,131,Friday,13,False
1340450,ad,33,Saturday,18,False
1204703,ad,178,Tuesday,11,False
1317443,ad,33,Tuesday,20,False
1187493,ad,321,Sunday,19,False
1434729,ad,5,Tuesday,15,False
1574422,ad,54,Tuesday,19,False
1030787,ad,28,Tuesday,20,False
1632916,ad,76,Wednesday,20,False
900840,psa,7,Tuesday,19,False
1246394,ad,194,Tuesday,18,True
1136931,ad,71,Wednesday,12,False
1019748,ad,75,Wednesday,19,False
1302478,ad,2,Tuesday,19,False
1267178,ad,205,Wednesday,20,False
1180529,ad,29,Wednesday,15,False
1348391,ad,18,Friday,20,False
1409800,ad,105,Friday,17,False
1248364,ad,34,Tuesday,19,False
1649502,ad,86,Monday,19,False
1094284,ad,149,Friday,11,False
1010839,ad,31,Tuesday,17,False
903040,psa,25,Thursday,1,False
1520223,ad,413,Friday,12,False
1588547,ad,73,Friday,14,False
1034891,ad,20,Wednesday,20,False
1491528,ad,134,Monday,15,False
1455437,ad,97,Wednesday,20,False
1472400,ad,67,Saturday,0,False
1341160,ad,51,Tuesday,19,False
1013777,ad,587,Friday,12,False
1017319,ad,122,Friday,16,False
1423312,ad,105,Saturday,18,True
1015047,ad,351,Saturday,18,False
1550332,ad,82,Thursday,20,False
1042589,ad,96,Sunday,17,False
1030768,ad,247,Wednesday,13,True
1076965,ad,71,Sunday,23,False
1533198,ad,47,Wednesday,18,False
1085678,ad,133,Tuesday,21,False
1376197,ad,147,Wednesday,4,False
1382343,ad,56,Wednesday,22,False
1157450,ad,69,Sunday,15,False
1565639,ad,127,Thursday,15,False
1080116,ad,49,Saturday,18,False
1549151,ad,88,Sunday,19,False
1081786,ad,59,Wednesday,11,False
1033018,ad,97,Thursday,0,False
1520916,ad,70,Friday,19,False
1137814,ad,167,Wednesday,19,True
1514443,ad,58,Tuesday,19,False
903695,psa,15,Saturday,14,False
1194809,ad,56,Tuesday,23,False
1320852,ad,47,Saturday,8,False
1546512,ad,54,Tuesday,20,False
1348232,ad,144,Thursday,17,False
1201643,ad,79,Thursday,10,False
1571331,ad,470,Saturday,0,False
1107361,ad,71,Tuesday,12,False
906091,psa,42,Tuesday,13,False
1033559,ad,387,Saturday,14,False
1641322,ad,82,Wednesday,21,False
1642139,ad,335,Friday,21,False
1333380,ad,313,Saturday,21,False
1440981,ad,133,Sunday,21,False
1401029,ad,3,Tuesday,19,False
1029265,ad,109,Monday,18,False
1088676,ad,235,Saturday,20,False
1366984,ad,186,Friday,19,False
1244397,ad,86,Saturday,16,False
1430763,ad,36,Saturday,11,False
1597187,ad,175,Tuesday,22,False
1483228,ad,306,Wednesday,16,False
1469872,ad,230,Tuesday,20,False
1615405,ad,535,Saturday,8,False
1085481,ad,46,Tuesday,18,False
1120795,ad,44,Sunday,19,False
1118411,ad,25,Friday,12,False
1525159,ad,103,Thursday,20,False
1295793,ad,51,Thursday,6,False
1224569,ad,45,Friday,17,False
1317489,ad,181,Wednesday,8,False
1164311,ad,10,Tuesday,19,False
1536050,ad,150,Tuesday,23,False
1119183,ad,65,Friday,16,False
1409888,ad,15,Monday,22,False
1646128,ad,401,Friday,19,False
1132296,ad,1,Tuesday,19,False
1046375,ad,153,Sunday,12,False
1014208,ad,394,Friday,11,False
1317792,ad,28,Wednesday,12,False
1244541,ad,294,Sunday,14,False
1019812,ad,38,Tuesday,16,False
1439141,ad,44,Tuesday,21,True
1245895,ad,94,Tuesday,9,False
1278872,ad,195,Saturday,16,False
1607601,ad,32,Wednesday,18,False
1643066,ad,47,Thursday,19,False
1647820,ad,32,Thursday,18,False
1098743,ad,37,Monday,12,False
1592346,ad,144,Thursday,19,False
1440193,ad,22,Saturday,14,False
1067298,ad,92,Monday,17,False
1513479,ad,568,Wednesday,20,False
1295941,ad,51,Wednesday,18,False
914792,psa,155,Saturday,8,False
1641976,ad,84,Tuesday,14,False
1124633,ad,335,Friday,17,False
1283132,ad,53,Thursday,22,False
1058032,ad,8,Tuesday,19,False
1008614,ad,128,Friday,3,False
1323235,ad,326,Tuesday,23,False
1489916,ad,31,Wednesday,19,False
1341982,ad,53,Saturday,19,False
1174355,ad,720,Monday,13,True
1477535,ad,110,Saturday,21,False
1010067,ad,92,Monday,19,False
1143517,ad,102,Tuesday,23,False
917358,psa,69,Saturday,6,False
1651334,ad,41,Wednesday,20,False
1317238,ad,16,Tuesday,19,False
1324162,ad,27,Monday,13,False
1447743,ad,38,Tuesday,8,False
1287370,ad,140,Tuesday,19,False
1639664,ad,179,Thursday,10,True
1144788,ad,29,Tuesday,15,False
1346483,ad,107,Wednesday,13,False
1299229,ad,59,Saturday,9,False
1225431,ad,22,Thursday,17,False
1207652,ad,17,Tuesday,19,False
1590303,ad,102,Tuesday,23,False
1017012,ad,260,Thursday,21,False
1595382,ad,308,Sunday,11,False
1549085,ad,161,Saturday,11,False
1112543,ad,28,Friday,19,False
1003096,ad,25,Thursday,0,False
1631175,ad,78,Monday,20,False
1540979,ad,76,Saturday,20,False
1591691,ad,14,Monday,9,False
1447000,ad,161,Tuesday,12,True
1222430,ad,617,Monday,18,False
1012883,ad,178,Friday,11,False
1037226,ad,153,Saturday,20,False
1129765,ad,58,Saturday,18,False
1437437,ad,29,Sunday,22,False
1409689,ad,38,Monday,16,False
1415810,ad,47,Saturday,14,False
1514863,ad,28,Wednesday,19,False
1149639,ad,103,Thursday,15,False
1171631,ad,12,Tuesday,19,False
1534755,ad,96,Sunday,16,False
1345998,ad,73,Sunday,7,False
913364,psa,102,Thursday,12,False
1018533,ad,148,Friday,19,False
1071964,ad,62,Wednesday,19,False
1278985,ad,655,Friday,1,False
1120563,ad,271,Sunday,13,False
1468257,ad,50,Friday,19,False
1041827,ad,95,Friday,20,False
1306109,ad,88,Saturday,20,False
1499964,ad,98,Thursday,22,False
1625666,ad,49,Wednesday,15,False
1004474,ad,36,Tuesday,12,False
1615620,ad,27,Sunday,15,False
1525522,ad,95,Sunday,17,False
1401271,ad,131,Tuesday,22,False
1222708,ad,10,Tuesday,19,False
1248718,ad,96,Wednesday,11,False
1093658,ad,95,Tuesday,14,False
1341101,ad,135,Wednesday,12,False
1288258,ad,73,Saturday,19,False
1247475,ad,31,Friday,11,False
1442128,ad,73,Friday,14,False
1633687,ad,158,Wednesday,14,False
1427862,ad,90,Wednesday,14,True
1174331,ad,15,Tuesday,19,False
1275901,ad,54,Sunday,16,False
1112145,ad,12,Monday,22,False
1426996,ad,4,Monday,20,False
1401679,ad,69,Saturday,10,False
1095342,ad,167,Saturday,18,False
1364403,ad,56,Thursday,16,True
1267174,ad,158,Wednesday,23,False
1061977,ad,173,Friday,13,True
1070229,ad,160,Wednesday,2,False
1040923,ad,10,Monday,19,True
1032005,ad,48,Tuesday,18,False
1176995,ad,39,Thursday,0,False
1053532,ad,17,Wednesday,3,False
1370791,ad,66,Friday,15,False
1115950,ad,211,Sunday,19,False
1410952,ad,271,Sunday,21,False
1126892,ad,3,Tuesday,19,False
1591724,ad,126,Saturday,19,False
1547226,ad,16,Thursday,18,False
1367107,ad,52,Wednesday,20,False
1338456,ad,74,Tuesday,20,False
1324637,ad,375,Friday,11,True
1414366,ad,237,Wednesday,10,False
1067680,ad,112,Tuesday,18,False
1062753,ad,108,Saturday,11,True
1093137,ad,35,Wednesday,12,False
1309708,ad,9,Tuesday,19,False
1435792,ad,160,Wednesday,20,False
1620841,ad,81,Saturday,18,False
1596045,ad,15,Tuesday,19,False
1513390,ad,104,Tuesday,22,False
